GEO_ID,NAME,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008
Geography,Geographic Area Name,Total,Total!!White alone,Total!!Black or African American alone,Total!!American Indian and Alaska Native alone,Total!!Asian alone,Total!!Native Hawaiian and Other Pacific Islander alone,Total!!Some Other Race alone,Total!!Two or More Races
1400000US06085504317,"Census Tract 5043.17, Santa Clara County, California",4429,765,71,24,3049,28,309,183
1400000US06085504318,"Census Tract 5043.18, Santa Clara County, California",5265,1527,148,44,2751,19,598,178
1400000US06085504319,"Census Tract 5043.19, Santa Clara County, California",6936,1224,158,48,4589,45,587,285
1400000US06085504320,"Census Tract 5043.20, Santa Clara County, California",2903,649,36,5,1974,9,111,119
1400000US06085504321,"Census Tract 5043.21, Santa Clara County, California",5346,969,116,29,3480,28,507,217
1400000US06085504322,"Census Tract 5043.22, Santa Clara County, California",5263,869,283,9,3655,2,248,197
1400000US06085504323,"Census Tract 5043.23, Santa Clara County, California",5741,889,146,29,4044,24,386,223
1400000US06085504410,"Census Tract 5044.10, Santa Clara County, California",4431,903,152,41,2681,14,463,177
1400000US06085504411,"Census Tract 5044.11, Santa Clara County, California",5450,1493,85,42,3159,31,379,261
1400000US06085504412,"Census Tract 5044.12, Santa Clara County, California",4901,935,91,24,2751,58,815,227
1400000US06085504413,"Census Tract 5044.13, Santa Clara County, California",1714,269,28,2,1333,1,26,55
1400000US06085504414,"Census Tract 5044.14, Santa Clara County, California",5092,659,68,3,4007,28,167,160
1400000US06085504415,"Census Tract 5044.15, Santa Clara County, California",5116,1169,104,9,3326,21,251,236
1400000US06085504416,"Census Tract 5044.16, Santa Clara County, California",3591,832,106,10,2267,17,183,176
1400000US06085504417,"Census Tract 5044.17, Santa Clara County, California",323,141,8,4,136,0,27,7
1400000US06085504418,"Census Tract 5044.18, Santa Clara County, California",4883,1154,146,33,2474,26,800,250
1400000US06085504420,"Census Tract 5044.20, Santa Clara County, California",4555,1071,62,21,3002,11,211,177
1400000US06085504421,"Census Tract 5044.21, Santa Clara County, California",4733,981,167,25,3089,13,242,216
1400000US06085504422,"Census Tract 5044.22, Santa Clara County, California",3672,702,143,12,2256,17,369,173
1400000US06085504423,"Census Tract 5044.23, Santa Clara County, California",2373,812,27,27,1157,28,227,95
1400000US06085504504,"Census Tract 5045.04, Santa Clara County, California",9882,1757,553,60,5743,40,1330,399
1400000US06085504505,"Census Tract 5045.05, Santa Clara County, California",4418,844,139,32,2713,37,306,347
1400000US06085504506,"Census Tract 5045.06, Santa Clara County, California",5924,1028,141,21,4118,10,325,281
1400000US06085504507,"Census Tract 5045.07, Santa Clara County, California",5768,1470,186,30,3197,40,544,301
1400000US06085504601,"Census Tract 5046.01, Santa Clara County, California",817,528,28,1,111,26,82,41
1400000US06085504602,"Census Tract 5046.02, Santa Clara County, California",2144,836,46,28,361,7,770,96
1400000US06085504700,"Census Tract 5047, Santa Clara County, California",719,426,107,8,49,4,45,80
1400000US06085504802,"Census Tract 5048.02, Santa Clara County, California",5242,1962,97,54,2229,27,610,263
1400000US06085504803,"Census Tract 5048.03, Santa Clara County, California",5756,1851,134,26,2948,29,560,208
1400000US06085504805,"Census Tract 5048.05, Santa Clara County, California",5294,3298,120,41,1199,40,341,255
1400000US06085504806,"Census Tract 5048.06, Santa Clara County, California",2930,939,83,17,1146,37,554,154
1400000US06085504901,"Census Tract 5049.01, Santa Clara County, California",9530,2384,274,26,6062,24,317,443
1400000US06085505001,"Census Tract 5050.01, Santa Clara County, California",9741,2786,278,44,5421,32,700,480
1400000US06085505006,"Census Tract 5050.06, Santa Clara County, California",3898,1115,86,11,2483,1,74,128
1400000US06085505007,"Census Tract 5050.07, Santa Clara County, California",4083,1345,148,39,1767,59,476,249
1400000US06085505008,"Census Tract 5050.08, Santa Clara County, California",5254,1660,116,15,3114,3,132,214
1400000US06085505009,"Census Tract 5050.09, Santa Clara County, California",6256,2410,469,56,2232,36,672,381
1400000US06085505100,"Census Tract 5051, Santa Clara County, California",3027,1253,114,17,992,16,421,214
1400000US06085505202,"Census Tract 5052.02, Santa Clara County, California",5867,2562,245,44,1496,37,1121,362
1400000US06085505203,"Census Tract 5052.03, Santa Clara County, California",4809,2927,165,22,1002,10,326,357
1400000US06085505301,"Census Tract 5053.01, Santa Clara County, California",4424,1611,107,25,1496,88,880,217
1400000US06085505302,"Census Tract 5053.02, Santa Clara County, California",4015,2188,114,19,1089,54,389,162
1400000US06085505303,"Census Tract 5053.03, Santa Clara County, California",5940,2083,153,47,2278,63,957,359
1400000US06085505304,"Census Tract 5053.04, Santa Clara County, California",3265,1574,34,22,1068,3,301,263
1400000US06085505305,"Census Tract 5053.05, Santa Clara County, California",5514,2616,116,23,2011,38,454,256
1400000US06085505401,"Census Tract 5054.01, Santa Clara County, California",5957,1968,147,27,3083,13,426,293
1400000US06085505402,"Census Tract 5054.02, Santa Clara County, California",3026,1543,66,4,962,25,275,151
1400000US06085505403,"Census Tract 5054.03, Santa Clara County, California",6595,2914,220,40,2557,28,490,346
1400000US06085505500,"Census Tract 5055, Santa Clara County, California",3911,2448,90,18,796,18,324,217
1400000US06085505600,"Census Tract 5056, Santa Clara County, California",3880,2448,166,25,677,21,257,286
1400000US06085505700,"Census Tract 5057, Santa Clara County, California",5751,3702,187,41,904,24,569,324
1400000US06085505800,"Census Tract 5058, Santa Clara County, California",3741,2802,42,20,428,11,223,215
1400000US06085505900,"Census Tract 5059, Santa Clara County, California",7079,4339,246,38,1601,29,430,396
1400000US06085506000,"Census Tract 5060, Santa Clara County, California",4617,2734,96,13,1143,34,329,268
1400000US06085506101,"Census Tract 5061.01, Santa Clara County, California",4615,2799,81,31,1237,22,205,240
1400000US06085506102,"Census Tract 5061.02, Santa Clara County, California",3808,2081,81,8,1325,10,125,178
1400000US06085506103,"Census Tract 5061.03, Santa Clara County, California",4699,2181,84,9,2083,6,123,213
1400000US06085506202,"Census Tract 5062.02, Santa Clara County, California",6959,3671,132,25,2622,26,158,325
1400000US06085506203,"Census Tract 5062.03, Santa Clara County, California",6163,1719,189,36,3566,23,342,288
1400000US06085506204,"Census Tract 5062.04, Santa Clara County, California",6064,2616,95,29,2752,17,301,254
1400000US06085506301,"Census Tract 5063.01, Santa Clara County, California",5334,2709,295,49,1336,63,556,326
1400000US06085506302,"Census Tract 5063.02, Santa Clara County, California",6388,3890,244,45,1306,30,529,344
1400000US06085506304,"Census Tract 5063.04, Santa Clara County, California",4958,2183,221,39,1452,68,731,264
1400000US06085506305,"Census Tract 5063.05, Santa Clara County, California",7191,3014,503,109,1447,25,1704,389
1400000US06085506401,"Census Tract 5064.01, Santa Clara County, California",4380,2386,226,54,875,24,578,237
1400000US06085506402,"Census Tract 5064.02, Santa Clara County, California",5733,3363,294,71,788,24,890,303
1400000US06085506501,"Census Tract 5065.01, Santa Clara County, California",7710,3696,471,60,1142,29,1916,396
1400000US06085506502,"Census Tract 5065.02, Santa Clara County, California",3907,2938,91,19,420,11,178,250
1400000US06085506503,"Census Tract 5065.03, Santa Clara County, California",6045,3788,257,54,985,28,526,407
1400000US06085506601,"Census Tract 5066.01, Santa Clara County, California",4482,2465,176,41,1117,36,346,301
1400000US06085506603,"Census Tract 5066.03, Santa Clara County, California",4070,2681,21,16,966,9,172,205
1400000US06085506604,"Census Tract 5066.04, Santa Clara County, California",7324,4445,203,27,1927,31,253,438
1400000US06085506605,"Census Tract 5066.05, Santa Clara County, California",3941,2249,147,37,909,10,407,182
1400000US06085506606,"Census Tract 5066.06, Santa Clara County, California",4453,2478,162,33,1061,7,443,269
1400000US06085506701,"Census Tract 5067.01, Santa Clara County, California",3954,2564,88,19,896,11,159,217
1400000US06085506702,"Census Tract 5067.02, Santa Clara County, California",5455,3511,243,65,931,15,381,309
1400000US06085506703,"Census Tract 5067.03, Santa Clara County, California",3625,2574,115,23,543,23,145,202
1400000US06085506801,"Census Tract 5068.01, Santa Clara County, California",5871,4599,34,26,762,17,130,303
1400000US06085506802,"Census Tract 5068.02, Santa Clara County, California",5237,4143,59,30,550,32,163,260
