GEO_ID,NAME,H1_001N
Geography,Geographic Area Name, !!Total
1400000US06085507903,Census Tract 5079.03; Santa Clara County; California,1631
1400000US06085507904,Census Tract 5079.04; Santa Clara County; California,1114
1400000US06085507905,Census Tract 5079.05; Santa Clara County; California,2218
1400000US06085507906,Census Tract 5079.06; Santa Clara County; California,1452
1400000US06085508003,Census Tract 5080.03; Santa Clara County; California,770
1400000US06085508004,Census Tract 5080.04; Santa Clara County; California,2200
1400000US06085508005,Census Tract 5080.05; Santa Clara County; California,1771
1400000US06085508006,Census Tract 5080.06; Santa Clara County; California,1216
1400000US06085508101,Census Tract 5081.01; Santa Clara County; California,2377
1400000US06085508102,Census Tract 5081.02; Santa Clara County; California,1623
1400000US06085508203,Census Tract 5082.03; Santa Clara County; California,1873
1400000US06085508204,Census Tract 5082.04; Santa Clara County; California,1503
1400000US06085508205,Census Tract 5082.05; Santa Clara County; California,1729
1400000US06085508206,Census Tract 5082.06; Santa Clara County; California,1567
1400000US06085508301,Census Tract 5083.01; Santa Clara County; California,1566
1400000US06085508303,Census Tract 5083.03; Santa Clara County; California,930
1400000US06085508305,Census Tract 5083.05; Santa Clara County; California,1953
1400000US06085508306,Census Tract 5083.06; Santa Clara County; California,1150
1400000US06085508401,Census Tract 5084.01; Santa Clara County; California,2547
1400000US06085508403,Census Tract 5084.03; Santa Clara County; California,1085
1400000US06085508404,Census Tract 5084.04; Santa Clara County; California,2519
1400000US06085508503,Census Tract 5085.03; Santa Clara County; California,2912
1400000US06085508505,Census Tract 5085.05; Santa Clara County; California,1951
1400000US06085508507,Census Tract 5085.07; Santa Clara County; California,1420
1400000US06085508508,Census Tract 5085.08; Santa Clara County; California,2037
1400000US06085508509,Census Tract 5085.09; Santa Clara County; California,2124
1400000US06085508510,Census Tract 5085.10; Santa Clara County; California,1312
1400000US06085508601,Census Tract 5086.01; Santa Clara County; California,1516
1400000US06085508602,Census Tract 5086.02; Santa Clara County; California,2704
