GEO_ID,NAME,P1_001N
Geography,Geographic Area Name, !!Total
1400000US06085504807,Census Tract 5048.07; Santa Clara County; California,6001
1400000US06085504808,Census Tract 5048.08; Santa Clara County; California,1623
1400000US06085504902,Census Tract 5049.02; Santa Clara County; California,4579
1400000US06085504903,Census Tract 5049.03; Santa Clara County; California,5353
1400000US06085505006,Census Tract 5050.06; Santa Clara County; California,11912
1400000US06085505007,Census Tract 5050.07; Santa Clara County; California,3760
1400000US06085505010,Census Tract 5050.10; Santa Clara County; California,4315
1400000US06085505011,Census Tract 5050.11; Santa Clara County; California,5413
1400000US06085505012,Census Tract 5050.12; Santa Clara County; California,2861
1400000US06085505013,Census Tract 5050.13; Santa Clara County; California,5705
1400000US06085505014,Census Tract 5050.14; Santa Clara County; California,6446
1400000US06085505015,Census Tract 5050.15; Santa Clara County; California,4580
1400000US06085505100,Census Tract 5051; Santa Clara County; California,4616
1400000US06085505202,Census Tract 5052.02; Santa Clara County; California,7715
1400000US06085505203,Census Tract 5052.03; Santa Clara County; California,5673
1400000US06085505301,Census Tract 5053.01; Santa Clara County; California,5484
1400000US06085505302,Census Tract 5053.02; Santa Clara County; California,4690
1400000US06085505303,Census Tract 5053.03; Santa Clara County; California,6127
1400000US06085505304,Census Tract 5053.04; Santa Clara County; California,3281
1400000US06085505305,Census Tract 5053.05; Santa Clara County; California,6114
1400000US06085505401,Census Tract 5054.01; Santa Clara County; California,6492
1400000US06085505402,Census Tract 5054.02; Santa Clara County; California,3090
1400000US06085505403,Census Tract 5054.03; Santa Clara County; California,8695
1400000US06085505500,Census Tract 5055; Santa Clara County; California,4217
1400000US06085505600,Census Tract 5056; Santa Clara County; California,4338
1400000US06085505700,Census Tract 5057; Santa Clara County; California,5738
1400000US06085505800,Census Tract 5058; Santa Clara County; California,4027
1400000US06085505901,Census Tract 5059.01; Santa Clara County; California,3794
1400000US06085505902,Census Tract 5059.02; Santa Clara County; California,3829
1400000US06085506000,Census Tract 5060; Santa Clara County; California,4938
1400000US06085506101,Census Tract 5061.01; Santa Clara County; California,4829
1400000US06085506102,Census Tract 5061.02; Santa Clara County; California,4574
1400000US06085506103,Census Tract 5061.03; Santa Clara County; California,5052
1400000US06085506202,Census Tract 5062.02; Santa Clara County; California,7512
1400000US06085506203,Census Tract 5062.03; Santa Clara County; California,7138
1400000US06085506204,Census Tract 5062.04; Santa Clara County; California,6423
1400000US06085506301,Census Tract 5063.01; Santa Clara County; California,5631
1400000US06085506302,Census Tract 5063.02; Santa Clara County; California,6210
1400000US06085506304,Census Tract 5063.04; Santa Clara County; California,5412
1400000US06085506305,Census Tract 5063.05; Santa Clara County; California,7257
1400000US06085506401,Census Tract 5064.01; Santa Clara County; California,5096
1400000US06085506402,Census Tract 5064.02; Santa Clara County; California,5719
1400000US06085506502,Census Tract 5065.02; Santa Clara County; California,4723
1400000US06085506503,Census Tract 5065.03; Santa Clara County; California,6802
1400000US06085506504,Census Tract 5065.04; Santa Clara County; California,2712
1400000US06085506505,Census Tract 5065.05; Santa Clara County; California,4788
1400000US06085506601,Census Tract 5066.01; Santa Clara County; California,4726
1400000US06085506603,Census Tract 5066.03; Santa Clara County; California,4084
1400000US06085506604,Census Tract 5066.04; Santa Clara County; California,7714
1400000US06085506605,Census Tract 5066.05; Santa Clara County; California,4320
1400000US06085506606,Census Tract 5066.06; Santa Clara County; California,4537
