GEO_ID,NAME,H016001,H016002,H016003,H016004,H016005,H016006,H016007,H016008,H016009,H016010,H016011,H016012,H016013,H016014,H016015,H016016,H016017
Geography,Geographic Area Name,Total,Total!!Owner occupied,Total!!Owner occupied!!1-person household,Total!!Owner occupied!!2-person household,Total!!Owner occupied!!3-person household,Total!!Owner occupied!!4-person household,Total!!Owner occupied!!5-person household,Total!!Owner occupied!!6-person household,Total!!Owner occupied!!7-or-more-person household,Total!!Renter occupied,Total!!Renter occupied!!1-person household,Total!!Renter occupied!!2-person household,Total!!Renter occupied!!3-person household,Total!!Renter occupied!!4-person household,Total!!Renter occupied!!5-person household,Total!!Renter occupied!!6-person household,Total!!Renter occupied!!7-or-more-person household
1400000US06085503710,"Census Tract 5037.10, Santa Clara County, California",932,262,23,38,37,56,44,25,39,670,182,113,89,93,79,25,89
1400000US06085503711,"Census Tract 5037.11, Santa Clara County, California",969,393,29,55,68,55,64,49,73,576,30,48,68,111,117,73,129
1400000US06085503712,"Census Tract 5037.12, Santa Clara County, California",1220,331,73,70,62,61,40,11,14,889,171,198,173,164,85,56,42
1400000US06085503713,"Census Tract 5037.13, Santa Clara County, California",1072,292,104,78,42,31,14,12,11,780,243,188,97,89,76,47,40
1400000US06085503802,"Census Tract 5038.02, Santa Clara County, California",2213,1404,185,343,249,264,170,89,104,809,137,182,149,138,91,55,57
1400000US06085503803,"Census Tract 5038.03, Santa Clara County, California",1329,972,111,264,216,209,83,50,39,357,25,69,85,82,47,24,25
1400000US06085503804,"Census Tract 5038.04, Santa Clara County, California",1480,1061,193,286,190,153,112,58,69,419,47,87,91,75,58,21,40
1400000US06085503902,"Census Tract 5039.02, Santa Clara County, California",1420,695,104,165,130,114,78,38,66,725,79,122,131,135,102,76,80
1400000US06085503903,"Census Tract 5039.03, Santa Clara County, California",882,533,58,130,97,93,58,35,62,349,79,77,42,49,37,22,43
1400000US06085504001,"Census Tract 5040.01, Santa Clara County, California",1460,719,101,147,115,116,85,47,108,741,83,122,102,131,118,77,108
1400000US06085504002,"Census Tract 5040.02, Santa Clara County, California",1318,601,37,94,78,98,91,67,136,717,111,130,97,104,86,67,122
1400000US06085504101,"Census Tract 5041.01, Santa Clara County, California",990,674,81,146,106,125,65,60,91,316,43,46,65,50,39,31,42
1400000US06085504102,"Census Tract 5041.02, Santa Clara County, California",1279,908,104,178,141,159,114,76,136,371,35,43,45,71,50,37,90
1400000US06085504201,"Census Tract 5042.01, Santa Clara County, California",1632,1288,237,453,209,203,101,40,45,344,83,82,64,54,27,15,19
1400000US06085504202,"Census Tract 5042.02, Santa Clara County, California",1458,1257,179,475,202,194,86,58,63,201,47,42,32,31,19,12,18
1400000US06085504307,"Census Tract 5043.07, Santa Clara County, California",1709,1271,182,374,244,251,108,53,59,438,45,100,89,99,54,21,30
1400000US06085504308,"Census Tract 5043.08, Santa Clara County, California",1460,1193,171,388,215,217,101,57,44,267,76,67,34,38,29,15,8
1400000US06085504311,"Census Tract 5043.11, Santa Clara County, California",2296,1646,253,440,381,343,111,74,44,650,88,164,166,133,46,24,29
1400000US06085504314,"Census Tract 5043.14, Santa Clara County, California",1289,1042,97,249,197,259,123,62,55,247,11,25,44,68,40,31,28
