"GEO_ID","NAME","P001001",
"Geography","Geographic Area Name","Total",
"1400000US06085504806","Census Tract 5048.06, Santa Clara County, California","2930",
"1400000US06085504901","Census Tract 5049.01, Santa Clara County, California","9530",
"1400000US06085505001","Census Tract 5050.01, Santa Clara County, California","9741",
"1400000US06085505006","Census Tract 5050.06, Santa Clara County, California","3898",
"1400000US06085505007","Census Tract 5050.07, Santa Clara County, California","4083",
"1400000US06085505008","Census Tract 5050.08, Santa Clara County, California","5254",
"1400000US06085505009","Census Tract 5050.09, Santa Clara County, California","6256",
"1400000US06085505100","Census Tract 5051, Santa Clara County, California","3027",
"1400000US06085505202","Census Tract 5052.02, Santa Clara County, California","5867",
"1400000US06085505203","Census Tract 5052.03, Santa Clara County, California","4809",
"1400000US06085505301","Census Tract 5053.01, Santa Clara County, California","4424",
"1400000US06085505302","Census Tract 5053.02, Santa Clara County, California","4015",
"1400000US06085505303","Census Tract 5053.03, Santa Clara County, California","5940",
"1400000US06085505304","Census Tract 5053.04, Santa Clara County, California","3265",
"1400000US06085505305","Census Tract 5053.05, Santa Clara County, California","5514",
"1400000US06085505401","Census Tract 5054.01, Santa Clara County, California","5957",
"1400000US06085505402","Census Tract 5054.02, Santa Clara County, California","3026",
"1400000US06085505403","Census Tract 5054.03, Santa Clara County, California","6595",
"1400000US06085505500","Census Tract 5055, Santa Clara County, California","3911",
"1400000US06085505600","Census Tract 5056, Santa Clara County, California","3880",
"1400000US06085505700","Census Tract 5057, Santa Clara County, California","5751",
"1400000US06085505800","Census Tract 5058, Santa Clara County, California","3741",
"1400000US06085505900","Census Tract 5059, Santa Clara County, California","7079",
"1400000US06085506000","Census Tract 5060, Santa Clara County, California","4617",
"1400000US06085506101","Census Tract 5061.01, Santa Clara County, California","4615",
"1400000US06085506102","Census Tract 5061.02, Santa Clara County, California","3808",
"1400000US06085506103","Census Tract 5061.03, Santa Clara County, California","4699",
"1400000US06085506202","Census Tract 5062.02, Santa Clara County, California","6959",
"1400000US06085506203","Census Tract 5062.03, Santa Clara County, California","6163",
"1400000US06085506204","Census Tract 5062.04, Santa Clara County, California","6064",
"1400000US06085506301","Census Tract 5063.01, Santa Clara County, California","5334",
"1400000US06085506302","Census Tract 5063.02, Santa Clara County, California","6388",
"1400000US06085506304","Census Tract 5063.04, Santa Clara County, California","4958",
"1400000US06085506305","Census Tract 5063.05, Santa Clara County, California","7191",
"1400000US06085506401","Census Tract 5064.01, Santa Clara County, California","4380",
"1400000US06085506402","Census Tract 5064.02, Santa Clara County, California","5733",
"1400000US06085506501","Census Tract 5065.01, Santa Clara County, California","7710",
"1400000US06085506502","Census Tract 5065.02, Santa Clara County, California","3907",
"1400000US06085506503","Census Tract 5065.03, Santa Clara County, California","6045",
