"GEO_ID","NAME","H001001",
"Geography","Geographic Area Name","Total",
"1400000US06085512029","Census Tract 5120.29, Santa Clara County, California","2301",
"1400000US06085512030","Census Tract 5120.30, Santa Clara County, California","980",
"1400000US06085512031","Census Tract 5120.31, Santa Clara County, California","1395",
"1400000US06085512032","Census Tract 5120.32, Santa Clara County, California","1037",
"1400000US06085512033","Census Tract 5120.33, Santa Clara County, California","2049",
"1400000US06085512034","Census Tract 5120.34, Santa Clara County, California","1032",
"1400000US06085512035","Census Tract 5120.35, Santa Clara County, California","1378",
"1400000US06085512036","Census Tract 5120.36, Santa Clara County, California","1900",
"1400000US06085512037","Census Tract 5120.37, Santa Clara County, California","981",
"1400000US06085512038","Census Tract 5120.38, Santa Clara County, California","1074",
"1400000US06085512039","Census Tract 5120.39, Santa Clara County, California","1327",
"1400000US06085512042","Census Tract 5120.42, Santa Clara County, California","850",
"1400000US06085512043","Census Tract 5120.43, Santa Clara County, California","1561",
"1400000US06085512045","Census Tract 5120.45, Santa Clara County, California","1834",
"1400000US06085512047","Census Tract 5120.47, Santa Clara County, California","1733",
"1400000US06085512052","Census Tract 5120.52, Santa Clara County, California","1801",
"1400000US06085512053","Census Tract 5120.53, Santa Clara County, California","1563",
"1400000US06085512100","Census Tract 5121, Santa Clara County, California","540",
"1400000US06085512200","Census Tract 5122, Santa Clara County, California","1549",
"1400000US06085512305","Census Tract 5123.05, Santa Clara County, California","1335",
"1400000US06085512307","Census Tract 5123.07, Santa Clara County, California","2297",
"1400000US06085512308","Census Tract 5123.08, Santa Clara County, California","2280",
"1400000US06085512309","Census Tract 5123.09, Santa Clara County, California","1724",
"1400000US06085512310","Census Tract 5123.10, Santa Clara County, California","1378",
"1400000US06085512311","Census Tract 5123.11, Santa Clara County, California","1181",
"1400000US06085512312","Census Tract 5123.12, Santa Clara County, California","953",
"1400000US06085512313","Census Tract 5123.13, Santa Clara County, California","1171",
"1400000US06085512314","Census Tract 5123.14, Santa Clara County, California","1979",
"1400000US06085512401","Census Tract 5124.01, Santa Clara County, California","1503",
"1400000US06085512402","Census Tract 5124.02, Santa Clara County, California","1628",
"1400000US06085512503","Census Tract 5125.03, Santa Clara County, California","2471",
"1400000US06085512505","Census Tract 5125.05, Santa Clara County, California","2130",
"1400000US06085512506","Census Tract 5125.06, Santa Clara County, California","1754",
"1400000US06085512508","Census Tract 5125.08, Santa Clara County, California","2640",
"1400000US06085512509","Census Tract 5125.09, Santa Clara County, California","1207",
"1400000US06085512510","Census Tract 5125.10, Santa Clara County, California","2289",
"1400000US06085512602","Census Tract 5126.02, Santa Clara County, California","1006",
"1400000US06085512603","Census Tract 5126.03, Santa Clara County, California","1033",
"1400000US06085512604","Census Tract 5126.04, Santa Clara County, California","1144",
"1400000US06085513000","Census Tract 5130, Santa Clara County, California","2982",
"1400000US06085513500","Census Tract 5135, Santa Clara County, California","496",
